0 , scm , 1.0 , 0.0 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 1.0 , 0.0 , scm::scm , 0.0 , 0.0 , scm::enl-wh , 0.0 , 0.0 , scm::enl-nw , 0.0 , 0.0 , scm::lev , 0.0 , 0.0 , enl-wh::scm , 0.0 , 0.0 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.0 , 0.0 , enl-nw::scm , 0.0 , 0.0 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.0 , 0.0 , lev::scm , 0.0 , 0.0 , lev::enl-wh , 0.0 , 0.0 , lev::enl-nw , 0.0 , 0.0 , lev::lev , 0.0 , 0.0
110 , scm , 0.988 , 0.00193218356616 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.557333333333 , 0.0130116756686 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.012 , 0.00193218356616 , scm::enl-nw , -0.012 , 0.00193218356616 , scm::lev , 0.430666666667 , 0.0130457883086 , enl-wh::scm , 0.012 , 0.00193218356616 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.442666666667 , 0.0130116756686 , enl-nw::scm , 0.012 , 0.00193218356616 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.442666666667 , 0.0130116756686 , lev::scm , -0.430666666667 , 0.0130457883086 , lev::enl-wh , -0.442666666667 , 0.0130116756686 , lev::enl-nw , -0.442666666667 , 0.0130116756686 , lev::lev , 0.0 , 0.0
120 , scm , 0.988 , 0.00193218356616 , enl-wh , 1.0 , 0.0 , enl-nw , 0.999333333333 , 0.00064406118872 , lev , 0.55 , 0.00884433277428 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.012 , 0.00193218356616 , scm::enl-nw , -0.0113333333333 , 0.00159629199965 , scm::lev , 0.438 , 0.00962404396406 , enl-wh::scm , 0.012 , 0.00193218356616 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.000666666666667 , 0.00064406118872 , enl-wh::lev , 0.45 , 0.00884433277428 , enl-nw::scm , 0.0113333333333 , 0.00159629199965 , enl-nw::enl-wh , -0.000666666666667 , 0.00064406118872 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.449333333333 , 0.00901685664207 , lev::scm , -0.438 , 0.00962404396406 , lev::enl-wh , -0.45 , 0.00884433277428 , lev::enl-nw , -0.449333333333 , 0.00901685664207 , lev::lev , 0.0 , 0.0
130 , scm , 0.983333333333 , 0.00224433443075 , enl-wh , 0.999333333333 , 0.00064406118872 , enl-nw , 0.999333333333 , 0.00064406118872 , lev , 0.553333333333 , 0.0106109656767 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.016 , 0.00227058484879 , scm::enl-nw , -0.016 , 0.00227058484879 , scm::lev , 0.43 , 0.0101980390272 , enl-wh::scm , 0.016 , 0.00227058484879 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.446 , 0.0108238419961 , enl-nw::scm , 0.016 , 0.00227058484879 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.446 , 0.0108238419961 , lev::scm , -0.43 , 0.0101980390272 , lev::enl-wh , -0.446 , 0.0108238419961 , lev::enl-nw , -0.446 , 0.0108238419961 , lev::lev , 0.0 , 0.0
140 , scm , 0.988 , 0.00342539535431 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.546666666667 , 0.0106944083693 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.012 , 0.00342539535431 , scm::enl-nw , -0.012 , 0.00342539535431 , scm::lev , 0.441333333333 , 0.0106193394508 , enl-wh::scm , 0.012 , 0.00342539535431 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.453333333333 , 0.0106944083693 , enl-nw::scm , 0.012 , 0.00342539535431 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.453333333333 , 0.0106944083693 , lev::scm , -0.441333333333 , 0.0106193394508 , lev::enl-wh , -0.453333333333 , 0.0106944083693 , lev::enl-nw , -0.453333333333 , 0.0106944083693 , lev::lev , 0.0 , 0.0
150 , scm , 0.989333333333 , 0.00199257882413 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.554 , 0.00883427667919 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.0106666666667 , 0.00199257882413 , scm::enl-nw , -0.0106666666667 , 0.00199257882413 , scm::lev , 0.435333333333 , 0.00893764406773 , enl-wh::scm , 0.0106666666667 , 0.00199257882413 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.446 , 0.00883427667919 , enl-nw::scm , 0.0106666666667 , 0.00199257882413 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.446 , 0.00883427667919 , lev::scm , -0.435333333333 , 0.00893764406773 , lev::enl-wh , -0.446 , 0.00883427667919 , lev::enl-nw , -0.446 , 0.00883427667919 , lev::lev , 0.0 , 0.0
160 , scm , 0.984 , 0.00323865541373 , enl-wh , 1.0 , 0.0 , enl-nw , 1.0 , 0.0 , lev , 0.551333333333 , 0.00983719321607 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.016 , 0.00323865541373 , scm::enl-nw , -0.016 , 0.00323865541373 , scm::lev , 0.432666666667 , 0.010130993882 , enl-wh::scm , 0.016 , 0.00323865541373 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.448666666667 , 0.00983719321607 , enl-nw::scm , 0.016 , 0.00323865541373 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.448666666667 , 0.00983719321607 , lev::scm , -0.432666666667 , 0.010130993882 , lev::enl-wh , -0.448666666667 , 0.00983719321607 , lev::enl-nw , -0.448666666667 , 0.00983719321607 , lev::lev , 0.0 , 0.0
170 , scm , 0.981333333333 , 0.00296148111093 , enl-wh , 0.999333333333 , 0.00064406118872 , enl-nw , 0.998 , 0.00139841179756 , lev , 0.532 , 0.00543241300999 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.018 , 0.00315524255099 , scm::enl-nw , -0.0166666666667 , 0.00335548197123 , scm::lev , 0.449333333333 , 0.00569340098841 , enl-wh::scm , 0.018 , 0.00315524255099 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.00133333333333 , 0.000877707451473 , enl-wh::lev , 0.467333333333 , 0.00520398707545 , enl-nw::scm , 0.0166666666667 , 0.00335548197123 , enl-nw::enl-wh , -0.00133333333333 , 0.000877707451473 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.466 , 0.00523237783209 , lev::scm , -0.449333333333 , 0.00569340098841 , lev::enl-wh , -0.467333333333 , 0.00520398707545 , lev::enl-nw , -0.466 , 0.00523237783209 , lev::lev , 0.0 , 0.0
180 , scm , 0.97 , 0.00410960933531 , enl-wh , 0.998666666667 , 0.000877707451473 , enl-nw , 0.998666666667 , 0.000877707451473 , lev , 0.538 , 0.00654556677794 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.0286666666667 , 0.00430675610502 , scm::enl-nw , -0.0286666666667 , 0.00420229214349 , scm::lev , 0.432 , 0.00633859430614 , enl-wh::scm , 0.0286666666667 , 0.00430675610502 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.000942809041582 , enl-wh::lev , 0.460666666667 , 0.00676373773502 , enl-nw::scm , 0.0286666666667 , 0.00420229214349 , enl-nw::enl-wh , 0.0 , 0.000942809041582 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.460666666667 , 0.00649558254451 , lev::scm , -0.432 , 0.00633859430614 , lev::enl-wh , -0.460666666667 , 0.00676373773502 , lev::enl-nw , -0.460666666667 , 0.00649558254451 , lev::lev , 0.0 , 0.0
190 , scm , 0.975333333333 , 0.00310793488659 , enl-wh , 0.998666666667 , 0.000877707451473 , enl-nw , 0.998666666667 , 0.000877707451473 , lev , 0.535333333333 , 0.0068551143384 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.0233333333333 , 0.00293131243517 , scm::enl-nw , -0.0233333333333 , 0.00293131243517 , scm::lev , 0.44 , 0.0069920589878 , enl-wh::scm , 0.0233333333333 , 0.00293131243517 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , 0.0 , 0.0 , enl-wh::lev , 0.463333333333 , 0.00697083872949 , enl-nw::scm , 0.0233333333333 , 0.00293131243517 , enl-nw::enl-wh , 0.0 , 0.0 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.463333333333 , 0.00697083872949 , lev::scm , -0.44 , 0.0069920589878 , lev::enl-wh , -0.463333333333 , 0.00697083872949 , lev::enl-nw , -0.463333333333 , 0.00697083872949 , lev::lev , 0.0 , 0.0
200 , scm , 0.972666666667 , 0.00415977207353 , enl-wh , 0.998 , 0.00103279555899 , enl-nw , 0.999333333333 , 0.00064406118872 , lev , 0.535333333333 , 0.00515248950976 , scm::scm , 0.0 , 0.0 , scm::enl-wh , -0.0253333333333 , 0.00398515764826 , scm::enl-nw , -0.0266666666667 , 0.00396278988892 , scm::lev , 0.437333333333 , 0.00682913149947 , enl-wh::scm , 0.0253333333333 , 0.00398515764826 , enl-wh::enl-wh , 0.0 , 0.0 , enl-wh::enl-nw , -0.00133333333333 , 0.000877707451473 , enl-wh::lev , 0.462666666667 , 0.00537208146432 , enl-nw::scm , 0.0266666666667 , 0.00396278988892 , enl-nw::enl-wh , 0.00133333333333 , 0.000877707451473 , enl-nw::enl-nw , 0.0 , 0.0 , enl-nw::lev , 0.464 , 0.00539958846168 , lev::scm , -0.437333333333 , 0.00682913149947 , lev::enl-wh , -0.462666666667 , 0.00537208146432 , lev::enl-nw , -0.464 , 0.00539958846168 , lev::lev , 0.0 , 0.0
