Method, Sigma, Score, CL0, CL1
enl-nw, 1620, 0.6, 36, 64
enl-wh, 1260, 0.6, 68, 32
enl-nw, 1260, 0.64, 64, 36
enl-wh, 430, 0.93, 55, 45
enl-nw, 430, 0.94, 56, 44
enl-wh, 450, 0.91, 49, 51
enl-nw, 450, 0.96, 48, 52
enl-wh, 460, 0.88, 58, 42
enl-nw, 460, 0.9, 40, 60
enl-wh, 40, 1.0, 50, 50
enl-nw, 40, 1.0, 50, 50
enl-wh, 1050, 0.71, 67, 33
enl-nw, 1050, 0.71, 33, 67
enl-wh, 1560, 0.69, 59, 41
enl-nw, 1560, 0.71, 59, 41
enl-wh, 1340, 0.61, 63, 37
enl-nw, 1340, 0.61, 77, 23
enl-wh, 650, 0.83, 53, 47
enl-nw, 650, 0.82, 62, 38
enl-wh, 1200, 0.61, 59, 41
enl-nw, 1200, 0.6, 68, 32
enl-wh, 700, 0.67, 61, 39
enl-nw, 700, 0.68, 62, 38
enl-wh, 1470, 0.6, 66, 34
enl-nw, 1470, 0.63, 33, 67
enl-wh, 1990, 0.58, 36, 64
enl-nw, 1990, 0.59, 37, 63
enl-wh, 940, 0.71, 65, 35
enl-nw, 940, 0.71, 37, 63
enl-wh, 890, 0.63, 61, 39
enl-nw, 890, 0.63, 49, 51
enl-wh, 1460, 0.53, 53, 47
enl-nw, 1460, 0.6, 32, 68
enl-wh, 0, 1.0, 50, 50
enl-nw, 0, 1.0, 50, 50
enl-wh, 1070, 0.53, 39, 61
enl-nw, 1070, 0.6, 42, 58
enl-wh, 530, 0.8, 40, 60
enl-nw, 530, 0.88, 44, 56
enl-wh, 360, 0.97, 49, 51
enl-nw, 360, 0.96, 48, 52
enl-wh, 800, 0.56, 44, 56
enl-nw, 800, 0.68, 36, 64
enl-wh, 1320, 0.58, 34, 66
enl-nw, 1320, 0.57, 73, 27
enl-wh, 1130, 0.68, 62, 38
enl-nw, 1130, 0.64, 56, 44
enl-wh, 610, 0.81, 61, 39
enl-nw, 610, 0.81, 41, 59
enl-wh, 170, 1.0, 50, 50
enl-nw, 170, 1.0, 50, 50
enl-wh, 1940, 0.54, 36, 64
enl-nw, 1940, 0.53, 43, 57
enl-wh, 130, 1.0, 50, 50
enl-nw, 130, 1.0, 50, 50
enl-wh, 1030, 0.64, 56, 44
enl-nw, 1030, 0.68, 36, 64
enl-wh, 550, 0.79, 67, 33
enl-nw, 550, 0.85, 61, 39
enl-wh, 1270, 0.6, 34, 66
enl-nw, 1270, 0.63, 73, 27
enl-wh, 1920, 0.52, 68, 32
enl-nw, 1920, 0.53, 69, 31
enl-wh, 20, 1.0, 50, 50
enl-nw, 20, 1.0, 50, 50
enl-wh, 740, 0.69, 29, 71
enl-nw, 740, 0.76, 62, 38
enl-wh, 970, 0.78, 48, 52
enl-nw, 970, 0.74, 62, 38
enl-wh, 750, 0.72, 48, 52
enl-nw, 750, 0.75, 41, 59
enl-wh, 840, 0.54, 58, 42
enl-nw, 840, 0.68, 34, 66
enl-wh, 1280, 0.64, 32, 68
enl-nw, 1280, 0.73, 39, 61
enl-wh, 1700, 0.6, 56, 44
enl-nw, 1700, 0.64, 64, 36
enl-wh, 880, 0.71, 55, 45
enl-nw, 880, 0.67, 71, 29
enl-wh, 1880, 0.58, 40, 60
enl-nw, 1880, 0.58, 34, 66
enl-wh, 790, 0.65, 27, 73
enl-nw, 790, 0.69, 65, 35
enl-wh, 1080, 0.62, 64, 36
enl-nw, 1080, 0.68, 60, 40
enl-wh, 710, 0.78, 52, 48
enl-nw, 710, 0.81, 49, 51
enl-wh, 250, 0.97, 47, 53
enl-nw, 250, 1.0, 50, 50
enl-wh, 1530, 0.57, 45, 55
enl-nw, 1530, 0.58, 66, 34
enl-wh, 280, 0.99, 51, 49
enl-nw, 280, 1.0, 50, 50
enl-wh, 1730, 0.51, 61, 39
enl-nw, 1730, 0.56, 36, 64
enl-wh, 640, 0.79, 51, 49
enl-nw, 640, 0.83, 47, 53
enl-wh, 1570, 0.6, 36, 64
enl-nw, 1570, 0.64, 36, 64
enl-wh, 310, 0.99, 51, 49
enl-nw, 310, 0.98, 48, 52
enl-wh, 380, 0.88, 58, 42
enl-nw, 380, 0.9, 58, 42
enl-wh, 670, 0.69, 71, 29
enl-nw, 670, 0.71, 75, 25
enl-wh, 470, 0.85, 63, 37
enl-nw, 470, 0.88, 40, 60
enl-wh, 1600, 0.58, 38, 62
enl-nw, 1600, 0.6, 68, 32
enl-wh, 210, 1.0, 50, 50
enl-nw, 210, 1.0, 50, 50
enl-wh, 1710, 0.55, 67, 33
enl-nw, 1710, 0.55, 41, 59
enl-wh, 10, 1.0, 50, 50
enl-nw, 10, 1.0, 50, 50
enl-wh, 680, 0.67, 57, 43
enl-nw, 680, 0.69, 55, 45
enl-wh, 1210, 0.63, 61, 39
enl-nw, 1210, 0.68, 68, 32
enl-wh, 720, 0.72, 64, 36
enl-nw, 720, 0.75, 57, 43
enl-wh, 1780, 0.59, 41, 59
enl-nw, 1780, 0.57, 39, 61
enl-wh, 1970, 0.54, 34, 66
enl-nw, 1970, 0.6, 36, 64
enl-wh, 1230, 0.63, 47, 53
enl-nw, 1230, 0.68, 30, 70
enl-wh, 1820, 0.63, 39, 61
enl-nw, 1820, 0.64, 40, 60
enl-wh, 540, 0.88, 54, 46
enl-nw, 540, 0.87, 41, 59
enl-wh, 1680, 0.52, 62, 38
enl-nw, 1680, 0.54, 44, 56
enl-wh, 980, 0.66, 60, 40
enl-nw, 980, 0.67, 35, 65
enl-wh, 910, 0.62, 70, 30
enl-nw, 910, 0.69, 61, 39
enl-wh, 110, 1.0, 50, 50
enl-nw, 110, 1.0, 50, 50
enl-wh, 590, 0.78, 62, 38
enl-nw, 590, 0.78, 66, 34
enl-wh, 220, 1.0, 50, 50
enl-nw, 220, 1.0, 50, 50
enl-wh, 1860, 0.51, 51, 49
enl-nw, 1860, 0.52, 62, 38
enl-wh, 1310, 0.57, 45, 55
enl-nw, 1310, 0.58, 48, 52
enl-wh, 500, 0.83, 39, 61
enl-nw, 500, 0.82, 62, 38
enl-wh, 1810, 0.53, 67, 33
enl-nw, 1810, 0.5, 30, 70
enl-wh, 140, 1.0, 50, 50
enl-nw, 140, 1.0, 50, 50
enl-wh, 1060, 0.63, 37, 63
enl-nw, 1060, 0.67, 73, 27
enl-wh, 1830, 0.56, 64, 36
enl-nw, 1830, 0.56, 34, 66
enl-wh, 180, 1.0, 50, 50
enl-nw, 180, 1.0, 50, 50
enl-wh, 200, 1.0, 50, 50
enl-nw, 200, 1.0, 50, 50
enl-wh, 1120, 0.61, 33, 67
enl-nw, 1120, 0.64, 66, 34
enl-wh, 1670, 0.51, 41, 59
enl-nw, 1670, 0.55, 37, 63
enl-wh, 1250, 0.68, 36, 64
enl-nw, 1250, 0.67, 39, 61
enl-wh, 1380, 0.57, 69, 31
enl-nw, 1380, 0.58, 72, 28
enl-wh, 1850, 0.51, 63, 37
enl-nw, 1850, 0.61, 59, 41
enl-wh, 780, 0.67, 31, 69
enl-nw, 780, 0.62, 74, 26
enl-wh, 100, 1.0, 50, 50
enl-nw, 100, 1.0, 50, 50
enl-wh, 240, 0.98, 52, 48
enl-nw, 240, 0.99, 49, 51
enl-wh, 1180, 0.57, 27, 73
enl-nw, 1180, 0.61, 77, 23
enl-wh, 1910, 0.51, 53, 47
enl-nw, 1910, 0.53, 27, 73
enl-wh, 1370, 0.51, 67, 33
enl-nw, 1370, 0.5, 62, 38
enl-wh, 160, 1.0, 50, 50
enl-nw, 160, 1.0, 50, 50
enl-wh, 510, 0.83, 57, 43
enl-nw, 510, 0.9, 52, 48
enl-wh, 870, 0.64, 62, 38
enl-nw, 870, 0.68, 30, 70
enl-wh, 1800, 0.52, 44, 56
enl-nw, 1800, 0.54, 66, 34
enl-wh, 440, 0.9, 56, 44
enl-nw, 440, 0.94, 46, 54
enl-wh, 300, 0.95, 53, 47
enl-nw, 300, 0.97, 47, 53
enl-wh, 370, 0.96, 48, 52
enl-nw, 370, 0.97, 53, 47
enl-wh, 350, 0.96, 52, 48
enl-nw, 350, 0.97, 53, 47
enl-wh, 630, 0.73, 67, 33
enl-nw, 630, 0.76, 32, 68
enl-wh, 990, 0.69, 43, 57
enl-nw, 990, 0.7, 42, 58
enl-wh, 1350, 0.54, 58, 42
enl-nw, 1350, 0.58, 48, 52
enl-wh, 320, 0.97, 53, 47
